symbol,name,return,risk
AMMB, AMMB Holdings Berhad,0.18103953275306134,0.17194886113467453
CELCOM, CelcomDigi Berhad, 0.044953023367697686,0.1686691363579536
CIMB, CIMB Group Holdings Berhad, 0.14919600549398812,0.17155415123668794
GAMUDA, Gamuda Berhad, 0.3479486634786449,0.2346511666263308
HUPSENG,Hup Seng Industries Berhad,0.15906358314973085,0.28477358343099324
MAXIS, Maxis Berhad, 0.033740787312533715,0.19215507495938292
MAYBANK,Malayan Banking Berhad,0.11193445675339082,0.10596414020090067
PBBANK,Public Bank Berhad,0.03261871009704268,0.16530607893428625
PETRONAS,PETRONAS Gas Berhad,0.03739247186757402,0.09396109851952886
RHB, RHB Bank Berhad, 0.11824110196331404,0.1102825593519627
SIMEDARBY, Sime Darby Berhad, 0.046945547046262956,0.18567507308391926
SUNWAY, Sunway Berhad, 0.38426456680538235,0.2874971621875726
TENAGA,Tenaga Nasional Berhad,0.19958726587482406,0.19233431648097915
TMB, Telekom Malaysia Berhad, 0.12309151698870781,0.13998379069170247
UPB, United Plantations Berhad, 0.3464274419213659,0.17519947394010515
