Price,Close,Monthly Return
Ticker,1066.KL,
Date,,
2022-06-01,4.65317440032959,-0.016873237438715827
2022-07-01,4.774984359741211,0.026177819469434205
2022-08-01,4.661294460296631,-0.02380948101173297
2022-09-01,4.5151214599609375,-0.03135888573029377
2022-10-01,4.645052909851074,0.028776955623971423
2022-11-01,4.687638759613037,0.009168001008481141
2022-12-01,4.8294358253479,0.03024914525337019
2023-01-01,4.796072006225586,-0.006908429955151285
2023-02-01,4.737685203552246,-0.012173879499213225
2023-03-01,4.6542744636535645,-0.01760580036768622
2023-04-01,4.570865154266357,-0.017921012187521845
2023-05-01,4.66526985168457,0.020653573061567343
2023-06-01,4.735030651092529,0.014953218490195042
2023-07-01,4.96175479888916,0.047882297814549
2023-08-01,4.891993522644043,-0.014059799218763325
2023-09-01,4.735030651092529,-0.03208566626774223
2023-10-01,4.998296737670898,0.05559965837129788
2023-11-01,4.8818488121032715,-0.023297521471662197
2023-12-01,4.8818488121032715,0.0
2024-01-01,5.01621150970459,0.027522912481066752
2024-02-01,5.01621150970459,0.0
2024-03-01,5.078914642333984,0.012500097435701463
2024-04-01,4.926636695861816,-0.02998237954284455
2024-05-01,5.142435550689697,0.043802469747595385
2024-06-01,5.161169528961182,0.0036430166380931883
2024-07-01,5.348507881164551,0.03629765524115158
2024-08-01,5.741918087005615,0.07355513249340229
2024-09-01,5.788753032684326,0.008156672555935884
2024-10-01,6.150635719299316,0.06251479110816027
2024-11-01,6.48647403717041,0.05460221238876306
2024-12-01,6.217803478240967,-0.041420123998005764
2025-01-01,6.169826507568359,-0.007716064176119697
2025-02-01,6.630404472351074,0.07465006742373337
2025-03-01,6.563237190246582,-0.010130193773936647
2025-04-01,6.559999942779541,-0.0004932394446831578
